ID,Modulo,Ambito,Sotto-ambito,Funzionalità,Tag,Scope,details
94,M6,"Audit Trail, Alert e Compliance Evidence",Sistema di Alert,Integrazione Teams/Slack per notifiche real-time al team operativo,Enterprise,Dubbio,"- Configurazione webhook Teams o Slack
- Selezione tipologie di notifica da inviare al canale
- Test integrazione con messaggio di prova
- Disabilitazione/riabilitazione integrazione"
95,M6,"Audit Trail, Alert e Compliance Evidence",Sistema di Alert,Digest periodici per il management (settimanale/mensile via email),Enterprise,Dubbio,"- Configurazione frequenza digest (settimanale/mensile)
- Selezione destinatari del digest
- Anteprima contenuto digest
- Invio manuale on-demand per report urgenti"
96,M6,"Audit Trail, Alert e Compliance Evidence",Dashboard e KPI,"Compliance dashboard base: SLA compliance %, SBOM coverage %",Basic,Dubbio,"- Visualizzazione % SLA compliance (notifiche entro scadenza / totale notifiche)
- Visualizzazione % SBOM coverage (prodotti con SBOM aggiornata / totale prodotti)
- Filtraggio per modulo, periodo, prodotto
- Export dato dashboard in formato CSV"
97,M6,"Audit Trail, Alert e Compliance Evidence",Dashboard e KPI,"KPI direzionali: prodotti esposti, vuln aperte per severità, MTTR, % clienti aggiornati, stato notifiche regolatorie",Enterprise,Dubbio,"- Visualizzazione prodotti esposti (con CVE open)
- Visualizzazione vulnerabilità aperte per severità (critica/alta/media/bassa)
- MTTR medio (Mean Time To Remediate)
- % clienti aggiornati all'ultima versione corretta
- Stato notifiche regolatorie (in corso / completate / in ritardo)"
98,M6,"Audit Trail, Alert e Compliance Evidence",Dashboard e KPI,Trend storico KPI (grafico nel tempo),Enterprise,Dubbio,"- Grafici storici per ogni KPI (linea temporale configurabile)
- Selezione intervallo date
- Confronto trend tra periodi diversi
- Esportazione dati trend in CSV"
99,M6,"Audit Trail, Alert e Compliance Evidence",Dashboard e KPI,Report Allegato VII CRA (documentazione tecnica strutturata per valutazione conformità CE),Must-have,Must-have,"- Generazione automatica documentazione tecnica per conformità CE (Allegato VII)
- Inclusione di: descrizione prodotto, SBOM, vulnerabilità gestite, azioni di remediation, stato EoS/EoL
- Esportazione in formato PDF e strutturato
- Versionamento del report per ogni ciclo di valutazione"
100,M6,"Audit Trail, Alert e Compliance Evidence",Dashboard e KPI,"Evidence pack per valutatori Classe I/II: SBOM versionata, log triage, proof of notification, CVD policy, test reports",Must-have,Must-have,"- Generazione bundle ZIP con tutti i documenti richiesti per valutatori CE
- Inclusi: SBOM versionata e firmata, log triage firmato, prove di notifica (email/ACN), CVD policy, test reports
- Firma digitale del bundle completo (SHA-256)
- Download evidence pack con checksum
- Selezione perimetro temporale per la generazione del pack"
106,X — Won't Have,Out of Scope (Won't Have),Out of Scope,Distribuzione OTA (Over-the-Air) aggiornamenti firmware,Won't have,Won't have,- Funzionalità esclusa dallo scope del progetto — nessun dettaglio implementativo
107,X — Won't Have,Out of Scope (Won't Have),Out of Scope,Architettura multi-tenant SaaS,Won't have,Won't have,- Funzionalità esclusa dallo scope del progetto — nessun dettaglio implementativo
108,X — Won't Have,Out of Scope (Won't Have),Out of Scope,License compliance module (analisi licenze open source),Won't have,Won't have,- Funzionalità esclusa dallo scope del progetto — nessun dettaglio implementativo
109,X — Won't Have,Out of Scope (Won't Have),Out of Scope,SAST/DAST integration nel ciclo di sviluppo,Won't have,Won't have,- Funzionalità esclusa dallo scope del progetto — nessun dettaglio implementativo
110,X — Won't Have,Out of Scope (Won't Have),Out of Scope,Threat modeling tool integrato,Won't have,Won't have,- Funzionalità esclusa dallo scope del progetto — nessun dettaglio implementativo
111,X — Won't Have,Out of Scope (Won't Have),Out of Scope,Supply chain risk scoring sui fornitori del fabbricante,Won't have,Won't have,- Funzionalità esclusa dallo scope del progetto — nessun dettaglio implementativo
112,X — Won't Have,Out of Scope (Won't Have),Out of Scope,SLSA attestation (Supply chain Levels for Software Artifacts),Won't have,Won't have,- Funzionalità esclusa dallo scope del progetto — nessun dettaglio implementativo
113,X — Won't Have,Out of Scope (Won't Have),Out of Scope,"Integrazione PLM (Teamcenter, Windchill)",Won't have,Won't have,- Funzionalità esclusa dallo scope del progetto — nessun dettaglio implementativo
114,X — Won't Have,Out of Scope (Won't Have),Out of Scope,"Feed threat intelligence commerciali (Shodan, Recorded Future, ecc.)",Won't have,Won't have,- Funzionalità esclusa dallo scope del progetto — nessun dettaglio implementativo
115,DT,Setup & Integrazione Dependency-Track,Deployment & Configurazione,"Setup e deployment Dependency-Track (Docker Compose, PostgreSQL, reverse proxy, configurazione base)",Basic,Basic,"- Deploy Dependency-Track tramite Docker Compose (immagini ufficiali)
- Configurazione PostgreSQL come database backend DT
- Configurazione reverse proxy NGINX per DT frontend e API
- Verifica funzionamento base e accesso all'interfaccia DT"
116,DT,Setup & Integrazione Dependency-Track,Deployment & Configurazione,"Configurazione sorgenti vulnerability intelligence in DT (NVD API key, OSV, CISA KEV, EPSS, GitHub Advisory)",Basic,Basic,"- Configurazione API key NVD in pannello admin DT
- Abilitazione sorgenti OSV, CISA KEV, EPSS, GitHub Advisory in DT
- Verifica sincronizzazione di ogni sorgente
- Alert di sistema in caso di interruzione sincronizzazione"
117,DT,Setup & Integrazione Dependency-Track,API Integration Layer,"Sviluppo API client REST verso Dependency-Track (autenticazione JWT/API-key, gestione errori, retry, rate limiting)",Basic,Basic,"- Autenticazione verso DT (JWT/API-key)
- Gestione errori HTTP e retry con backoff esponenziale
- Rate limiting rispettato lato client
- Test integrazione con WireMock per simulare DT API"
118,DT,Setup & Integrazione Dependency-Track,API Integration Layer,"Mapping e sincronizzazione progetti DT ↔ versioni prodotto proprietarie (import SBOM, allineamento IDs, stato sincronizzazione)",Must-have,Must-have,"- Creazione automatica progetto DT al momento della creazione di una versione prodotto proprietaria
- Import SBOM verso DT al momento del caricamento nel sistema proprietario
- Allineamento ID DT con ID interno del sistema proprietario
- Visualizzazione stato sincronizzazione per ogni versione prodotto"
119,DT,Setup & Integrazione Dependency-Track,Policy & Alerting,"Configurazione policy engine DT: regole per KEV match, CVSS critico, componenti EoL + webhook verso backend proprietario",Must-have,Must-have,"- Configurazione regole policy DT: KEV match, CVSS critico, componenti EoL
- Configurazione webhook DT verso backend proprietario
- Test ricezione webhook con payload di esempio
- Visualizzazione log delle policy violations"
120,DT,Setup & Integrazione Dependency-Track,Test & Validazione,Test integrazione end-to-end: upload SBOM CycloneDX → matching CVE in DT → ricezione alert webhook → trigger workflow M4,Basic,Basic,"- Test: upload SBOM CycloneDX → matching CVE in DT → ricezione alert webhook → trigger workflow M4
- Test con SBOM contenente componente con CVE KEV nota
- Verifica della catena completa in ambiente di staging
- Report test con esito pass/fail per ogni step"
102,ADD-ON,Customer Portal B2B,Customer Portal B2B,Stato vulnerabilità per asset del cliente in tempo reale,Nice-to-have,Nice-to-have,"- Accesso del cliente al portale con le proprie credenziali
- Visualizzazione in tempo reale delle vulnerabilità che interessano i propri asset
- Filtraggio per prodotto, versione, severità
- Navigazione al dettaglio vulnerabilità con stato triage attuale"
103,ADD-ON,Customer Portal B2B,Customer Portal B2B,Download SBOM dei prodotti in uso da parte del cliente,Nice-to-have,Nice-to-have,"- Visualizzazione SBOM dei prodotti in uso da parte del cliente
- Download SBOM in formato CycloneDX
- Accesso alle versioni storiche SBOM del proprio prodotto"
104,ADD-ON,Customer Portal B2B,Customer Portal B2B,Ricezione e acknowledgment notifiche nel portale (alternativa/complemento all'email),Nice-to-have,Nice-to-have,"- Ricezione notifiche di sicurezza nel portale (alternativa/complemento all'email)
- Acknowledgment della notifica direttamente nel portale
- Notifica email di allerta quando nuova comunicazione disponibile nel portale"
105,ADD-ON,Customer Portal B2B,Customer Portal B2B,Storico comunicazioni di sicurezza per cliente nel portale,Nice-to-have,Nice-to-have,"- Visualizzazione cronologica di tutte le comunicazioni di sicurezza ricevute
- Filtraggio per data, tipo, prodotto
- Download di comunicazioni storiche in formato PDF"
106,X — Won't Have,Out of Scope (Won't Have),Out of Scope,Distribuzione OTA (Over-the-Air) aggiornamenti firmware,Won't have,Won't have,- Funzionalità esclusa dallo scope del progetto — nessun dettaglio implementativo
107,X — Won't Have,Out of Scope (Won't Have),Out of Scope,Architettura multi-tenant SaaS,Won't have,Won't have,- Funzionalità esclusa dallo scope del progetto — nessun dettaglio implementativo
108,X — Won't Have,Out of Scope (Won't Have),Out of Scope,License compliance module (analisi licenze open source),Won't have,Won't have,- Funzionalità esclusa dallo scope del progetto — nessun dettaglio implementativo
109,X — Won't Have,Out of Scope (Won't Have),Out of Scope,SAST/DAST integration nel ciclo di sviluppo,Won't have,Won't have,- Funzionalità esclusa dallo scope del progetto — nessun dettaglio implementativo
110,X — Won't Have,Out of Scope (Won't Have),Out of Scope,Threat modeling tool integrato,Won't have,Won't have,- Funzionalità esclusa dallo scope del progetto — nessun dettaglio implementativo
111,X — Won't Have,Out of Scope (Won't Have),Out of Scope,Supply chain risk scoring sui fornitori del fabbricante,Won't have,Won't have,- Funzionalità esclusa dallo scope del progetto — nessun dettaglio implementativo
112,X — Won't Have,Out of Scope (Won't Have),Out of Scope,SLSA attestation (Supply chain Levels for Software Artifacts),Won't have,Won't have,- Funzionalità esclusa dallo scope del progetto — nessun dettaglio implementativo
113,X — Won't Have,Out of Scope (Won't Have),Out of Scope,"Integrazione PLM (Teamcenter, Windchill)",Won't have,Won't have,- Funzionalità esclusa dallo scope del progetto — nessun dettaglio implementativo
114,X — Won't Have,Out of Scope (Won't Have),Out of Scope,"Feed threat intelligence commerciali (Shodan, Recorded Future, ecc.)",Won't have,Won't have,- Funzionalità esclusa dallo scope del progetto — nessun dettaglio implementativo
115,DT,Setup & Integrazione Dependency-Track,Deployment & Configurazione,"Setup e deployment Dependency-Track (Docker Compose, PostgreSQL, reverse proxy, configurazione base)",Basic,Basic,"- Deploy Dependency-Track tramite Docker Compose (immagini ufficiali)
- Configurazione PostgreSQL come database backend DT
- Configurazione reverse proxy NGINX per DT frontend e API
- Verifica funzionamento base e accesso all'interfaccia DT"
116,DT,Setup & Integrazione Dependency-Track,Deployment & Configurazione,"Configurazione sorgenti vulnerability intelligence in DT (NVD API key, OSV, CISA KEV, EPSS, GitHub Advisory)",Basic,Basic,"- Configurazione API key NVD in pannello admin DT
- Abilitazione sorgenti OSV, CISA KEV, EPSS, GitHub Advisory in DT
- Verifica sincronizzazione di ogni sorgente
- Alert di sistema in caso di interruzione sincronizzazione"
117,DT,Setup & Integrazione Dependency-Track,API Integration Layer,"Sviluppo API client REST verso Dependency-Track (autenticazione JWT/API-key, gestione errori, retry, rate limiting)",Basic,Basic,"- Autenticazione verso DT (JWT/API-key)
- Gestione errori HTTP e retry con backoff esponenziale
- Rate limiting rispettato lato client
- Test integrazione con WireMock per simulare DT API"
118,DT,Setup & Integrazione Dependency-Track,API Integration Layer,"Mapping e sincronizzazione progetti DT ↔ versioni prodotto proprietarie (import SBOM, allineamento IDs, stato sincronizzazione)",Must-have,Must-have,"- Creazione automatica progetto DT al momento della creazione di una versione prodotto proprietaria
- Import SBOM verso DT al momento del caricamento nel sistema proprietario
- Allineamento ID DT con ID interno del sistema proprietario
- Visualizzazione stato sincronizzazione per ogni versione prodotto"
119,DT,Setup & Integrazione Dependency-Track,Policy & Alerting,"Configurazione policy engine DT: regole per KEV match, CVSS critico, componenti EoL + webhook verso backend proprietario",Must-have,Must-have,"- Configurazione regole policy DT: KEV match, CVSS critico, componenti EoL
- Configurazione webhook DT verso backend proprietario
- Test ricezione webhook con payload di esempio
- Visualizzazione log delle policy violations"
120,DT,Setup & Integrazione Dependency-Track,Test & Validazione,Test integrazione end-to-end: upload SBOM CycloneDX → matching CVE in DT → ricezione alert webhook → trigger workflow M4,Basic,Basic,"- Test: upload SBOM CycloneDX → matching CVE in DT → ricezione alert webhook → trigger workflow M4
- Test con SBOM contenente componente con CVE KEV nota
- Verifica della catena completa in ambiente di staging
- Report test con esito pass/fail per ogni step"
